iter	RMSE
0	4.879572431
1	4.571473504
2	4.278735987
3	4.027278076
4	3.809069778
5	3.60669938
6	3.420247605
7	3.282595274
8	3.115058967
9	2.953729979
10	2.790129091
11	2.673030367
12	2.563603986
13	2.448392135
14	2.348344484
15	2.251278364
16	2.170099557
17	2.094607229
18	2.013155566
19	1.953561188
20	1.886992849
21	1.819133431
22	1.758639437
23	1.694082292
24	1.635765504
25	1.598247417
26	1.562021521
27	1.519041089
28	1.475799997
29	1.439374347
30	1.414459751
31	1.378792593
32	1.349861421
33	1.312784094
34	1.286502101
35	1.260573865
36	1.236722449
37	1.217787416
38	1.177665098
39	1.145221696
40	1.117094315
41	1.094859204
42	1.063494468
43	1.049190041
44	1.029705094
45	1.015233262
46	1.000072472
47	0.9870381503
48	0.9753438139
49	0.9465685095
50	0.9223066507
51	0.9122699011
52	0.9059673107
53	0.8866514609
54	0.8632427316
55	0.8549477176
56	0.8492281612
57	0.8452718253
58	0.8403401897
59	0.8201720351
60	0.8154603975
61	0.8084599033
62	0.804203607
63	0.7840527234
64	0.765218769
65	0.7476388128
66	0.7428119086
67	0.7252787846
68	0.7219721887
69	0.7048653349
70	0.7004275441
71	0.694947932
72	0.6910727468
73	0.6762348902
74	0.6726529801
75	0.6693837199
76	0.6664667987
77	0.6533592212
78	0.6421686564
79	0.6309506612
80	0.6266441285
81	0.6239081747
82	0.6215488404
83	0.6104325871
84	0.6022960268
85	0.5967184584
86	0.5918465106
87	0.5841681799
88	0.58257332
89	0.5810347226
90	0.5757479666
91	0.5677076007
92	0.5649827608
93	0.5629069002
94	0.561674049
95	0.5547648962
96	0.552393299
97	0.549808276
98	0.5487649856
99	0.5401236044
