iter	Passed	Remaining
0	142	142352
1	143	71578
2	144	48089
3	146	36356
4	147	29298
5	148	24615
6	149	21273
7	151	18755
8	152	16780
9	153	15219
10	155	13945
11	156	12866
12	157	11958
13	158	11179
14	159	10464
15	160	9880
16	161	9363
17	163	8901
18	164	8498
19	165	8131
20	166	7776
21	168	7471
22	169	7194
23	170	6939
24	171	6689
25	172	6461
26	173	6261
27	175	6076
28	176	5902
29	176	5722
30	178	5573
31	179	5433
32	181	5306
33	182	5183
34	183	5064
35	184	4951
36	186	4847
37	187	4746
38	188	4654
39	190	4565
40	191	4475
41	192	4394
42	193	4316
43	195	4242
44	196	4174
45	197	4090
46	198	4025
47	199	3961
48	201	3901
49	202	3842
50	203	3785
51	204	3731
52	205	3679
53	207	3630
54	208	3582
55	209	3534
56	211	3494
57	212	3450
58	213	3406
59	214	3365
60	215	3323
61	216	3275
62	217	3236
63	218	3199
64	219	3159
65	220	3123
66	221	3089
67	223	3056
68	224	3025
69	225	2996
70	226	2966
71	227	2936
72	229	2908
73	229	2873
74	230	2845
75	231	2815
76	232	2788
77	233	2759
78	234	2730
79	235	2705
80	236	2681
81	237	2658
82	238	2635
83	239	2612
84	240	2587
85	241	2566
86	242	2546
87	243	2526
88	244	2506
89	245	2482
90	246	2462
91	247	2444
92	248	2425
93	249	2408
94	251	2391
95	252	2374
96	253	2358
97	254	2342
98	255	2328
99	257	2313
100	258	2297
101	259	2283
102	260	2268
103	261	2253
104	262	2236
105	263	2221
106	264	2207
107	265	2193
108	266	2177
109	267	2164
110	268	2151
111	269	2138
112	271	2127
113	272	2115
114	273	2103
115	274	2091
116	275	2079
117	276	2067
118	277	2055
119	278	2044
120	279	2033
121	281	2023
122	282	2015
123	283	2005
124	284	1994
125	286	1986
126	287	1973
127	288	1963
128	289	1953
129	290	1943
130	291	1933
131	292	1924
132	293	1914
133	294	1906
134	296	1898
135	297	1889
136	298	1880
137	299	1871
138	300	1860
139	301	1853
140	302	1845
141	304	1836
142	305	1828
143	306	1820
144	306	1809
145	307	1800
146	309	1793
147	310	1787
148	311	1780
149	312	1772
150	313	1765
151	315	1757
152	316	1751
153	317	1741
154	317	1732
155	318	1725
156	320	1718
157	321	1711
158	321	1702
159	322	1692
160	323	1686
161	324	1680
162	325	1673
163	327	1667
164	328	1660
165	329	1654
166	329	1644
167	330	1638
168	332	1632
169	333	1626
170	334	1620
171	335	1615
172	336	1609
173	337	1603
174	338	1597
175	340	1591
176	341	1586
177	342	1580
178	343	1574
179	344	1568
180	345	1563
181	346	1558
182	347	1553
183	349	1547
184	350	1542
185	351	1537
186	351	1530
187	353	1525
188	354	1520
189	355	1515
190	356	1510
191	357	1506
192	359	1501
193	360	1496
194	361	1491
195	362	1487
196	363	1483
197	365	1478
198	366	1474
199	367	1468
200	368	1464
201	369	1459
202	370	1455
203	371	1451
204	373	1446
205	374	1442
206	375	1437
207	376	1434
208	377	1429
209	378	1425
210	379	1420
211	381	1416
212	382	1411
213	383	1407
214	384	1404
215	385	1400
216	386	1396
217	388	1391
218	389	1387
219	390	1383
220	391	1380
221	392	1376
222	393	1371
223	394	1367
224	395	1363
225	397	1359
226	398	1355
227	399	1351
228	400	1347
229	401	1343
230	402	1340
231	403	1336
232	404	1332
233	405	1328
234	407	1325
235	408	1321
236	408	1316
237	410	1313
238	411	1310
239	412	1306
240	413	1303
241	414	1299
242	416	1296
243	417	1292
244	418	1288
245	419	1284
246	420	1281
247	421	1278
248	422	1275
249	423	1271
250	424	1266
251	425	1263
252	426	1260
253	427	1256
254	429	1253
255	430	1250
256	431	1246
257	432	1243
258	433	1240
259	434	1236
260	435	1233
261	437	1231
262	438	1227
263	439	1224
264	440	1221
265	441	1217
266	442	1214
267	443	1211
268	444	1208
269	445	1205
270	446	1202
271	448	1199
272	449	1195
273	450	1192
274	451	1190
275	452	1187
276	453	1184
277	455	1181
278	456	1178
279	457	1175
280	458	1172
281	459	1169
282	460	1166
283	461	1163
284	462	1160
285	463	1157
286	464	1154
287	465	1152
288	467	1149
289	468	1147
290	469	1144
291	470	1141
292	471	1138
293	472	1135
294	474	1133
295	475	1130
296	476	1127
297	477	1124
298	478	1121
299	479	1118
300	480	1116
301	481	1113
302	483	1111
303	484	1108
304	485	1106
305	486	1103
306	487	1100
307	488	1098
308	489	1095
309	490	1092
310	491	1089
311	493	1087
312	494	1084
313	495	1082
314	496	1079
315	497	1077
316	498	1074
317	500	1072
318	501	1069
319	502	1067
320	503	1064
321	504	1061
322	505	1059
323	506	1056
324	507	1054
325	508	1051
326	510	1050
327	511	1048
328	513	1046
329	514	1044
